,,Unnamed: 0,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Other Cash Adjustment Inside Change in Cash,Cash Flow from Discontinued Operation
FCNCA,35,FCNCA,9/30/2014,"-24,020","1,896","-143,835","400,993","64,874","13,393","-26,213",-,-,-761,0,"-50,233",-,
FCNCA,36,FCNCA,6/30/2014,"28,479","159,700","-164,698","566,952","45,778","9,991","-22,224",-,-,-771,0,"6,255",-,
FCNCA,37,FCNCA,3/31/2014,"63,082","-343,434","290,224","543,471","2,184","13,525","-17,326",-,-,-469,0,"45,756",-,
FCNCA,38,FCNCA,12/31/2013,"64,660","182,285","-282,464","533,599","3,492","12,361","-27,150",-,0,-194,0,"37,510",-,
FCNCA,39,FCNCA,9/30/2013,"119,041","-225,134","132,566","569,118","23,481","16,608","-12,191",-,-,"-2,350",0,"106,850",-,
FCNCA,40,FCNCA,6/30/2013,"74,010","50,314","-41,896","542,645","72,553","11,843","-17,983",-,-,-939,0,"56,027",-,
FCNCA,41,FCNCA,3/31/2013,"73,296","-232,421","-20,388","460,217","3,364","18,422","-8,713",-,-,-669,-321,"64,583",-,
FCNCA,42,FCNCA,12/31/2012,"-18,373","100,531","-48,535","639,730","31,245","19,735","-15,267",-,-,"27,441","-98,675","-33,640",-,
FCNCA,43,FCNCA,9/30/2012,"-143,141","292,594","-114,350","606,107","13,755","33,266","-24,363",-,-,"-177,782","-2,535","-167,504",-,
FCNCA,44,FCNCA,6/30/2012,"154,657","-188,635","52,319","571,004","21,369","23,480","-22,643",-,-,"-8,216",-841,"132,014",-,
FCNCA,45,FCNCA,3/31/2012,"208,145","-448,833","202,550","552,663",84,"28,033","-26,610",-,-,"-37,781","-1,573","181,535",-,
FCNCA,46,FCNCA,12/31/2011,"47,481","129,208","-125,225","590,801","45,640","28,192","-23,391",-,-,"250,723","-3,722","24,090",-,
FCNCA,47,FCNCA,9/30/2011,"119,079","623,828","-741,287","539,337","28,476","44,088","-20,936",-,-,"-343,811","-13,090","98,143",-,
FCNCA,48,FCNCA,6/30/2011,"124,763","185,201","-178,499","537,717","8,249","34,910","-19,742",-,-,"205,886",-,"105,021",-,
FCNCA,49,FCNCA,3/31/2011,"337,430","1,473,690","-1,865,046","406,252","9,100","50,287","-12,832",-,-,"-433,528",-,"324,598",-,
FCNCA,50,FCNCA,12/31/2010,"-73,881","353,407","-313,134","460,178","60,219","40,729","-15,875",-,"-183,122","-19,119",-,"-89,756",-,
FCNCA,51,FCNCA,9/30/2010,"-33,514","-62,436","-36,121","493,786","80,923","55,807","-15,045",-,"-12,785","24,007",-,"-48,559",-,
FCNCA,52,FCNCA,6/30/2010,"88,714","-179,559","-28,478","625,857","45,911","45,041","-21,739",-,-,"-50,244",-,"66,975",-,
FCNCA,53,FCNCA,3/31/2010,"165,416","-241,016","340,538","745,180",130,"54,425","-18,177",-,-,"-454,861",-,"147,239",-,
FCNCA,54,FCNCA,12/31/2009,"20,694","-232,369","-31,114","480,242","2,935","54,218","-15,897",-,"-82,392","65,796",-,"4,797",-,
FCNCA,55,FCNCA,9/30/2009,"97,083","688,901","-700,849","723,031",189,"71,696","-29,854",-,"88,011","-102,014",-,"67,229",-,
FCNCA,56,FCNCA,6/30/2009,"88,204","-8,264","86,157","637,896","17,418","52,887","-23,529",-,-,"-42,309",-,"64,675",-,
FCNCA,57,FCNCA,3/31/2009,"-27,142","-601,897","507,463","471,799",98,"61,885","-26,597",-,-,"-5,192",-,"-53,739",-,
FCNCA,58,FCNCA,12/31/2008,"74,355","-260,180","54,984","593,375",-,-,"-24,474",-,"85,000",-,-,"49,881",-,
FCNCA,59,FCNCA,9/30/2008,"97,375","-302,534","217,724","724,216",-,-,"-20,949",-,-,-,-,"76,426",-,
FCNCA,60,FCNCA,6/30/2008,"36,488","235,114","-294,532","711,651",-,-,"-20,467",-,-,-,-,"16,021",-,
FCNCA,61,FCNCA,3/31/2008,"19,004","-544,258","466,047","734,581",-,-,"-29,270",-,"205,000",-,-,"-10,266",-,
FCNCA,62,FCNCA,12/31/2007,"18,978","90,136","-142,409","793,788",-,-,"-25,511",-,-,-,-,"-6,533",-,
FCNCA,63,FCNCA,9/30/2007,"102,029","-357,620","236,745","827,083",-,-,"-24,133",-,-,-,-,"77,896",-,
FCNCA,64,FCNCA,6/30/2007,"-3,552","-160,086","162,365","845,929",-,-,"-23,039",-,-,-,-,"-26,591",-,
FCNCA,65,FCNCA,3/31/2007,"44,940","-279,239","70,517","847,202",-,-,"-31,635",-,-,-,-,"13,305",-,
FCNCA,66,FCNCA,12/31/2006,"67,985","-24,191","57,488","1,010,984",-,-,"-35,580",-,"2,851",-,-,"32,405",-,
FCNCA,67,FCNCA,9/30/2006,"63,294","-162,460","50,980","909,702",-,-,"-28,774",-,0,-,-,"34,520",-,
FCNCA,68,FCNCA,6/30/2006,"-37,356","-237,281","426,768","957,888",-,-,"-18,355",-,-,-,-,"-55,711",-,
FCNCA,69,FCNCA,3/31/2006,"101,677","-481,183","407,335","805,757",-,-,"-29,275",-,-,-,-,"72,402",-,
FCNCA,70,FCNCA,12/31/2005,"11,041","-64,856","128,906","777,928",-,-,"-31,547",-,0,-,-,"-20,506",-,
FCNCA,71,FCNCA,9/30/2005,"33,103","-448,148","437,467","702,837",-,-,"-26,683",-,0,-,-,"6,420",-,
FCNCA,72,FCNCA,6/30/2005,"251,844","-577,984","407,197","680,415",-,-,"-17,111",-,-,-,-,"234,733",-,
FCNCA,73,FCNCA,3/31/2005,"72,489","-424,255","271,441","599,358",-,-,"-48,607",-,-,-,-,"23,882",-,
FCNCA,74,FCNCA,12/31/2004,"27,674","-239,137","224,664","679,683",-,-,"-9,204",-,-,-,-,"18,470",-,
FCNCA,75,FCNCA,9/30/2004,"10,719","-220,066","168,493","666,482",-,-,"-21,369",-,-,-,-,"-10,650",-,
FCNCA,76,FCNCA,6/30/2004,"27,194","-90,004","130,488","707,336",-,-,"-24,323",-,-,-,-,"2,871",-,
FCNCA,77,FCNCA,3/31/2004,"46,048","-315,437","118,879","639,658",-,-,"-17,610",-,-,-,-,"28,438",-,
FCNCA,78,FCNCA,12/31/2003,"46,324","-115,315","68,993","790,168",-,-,-,-,"21,313",-,-,"86,736",-,
FCNCA,79,FCNCA,9/30/2003,"26,319","-24,792","-21,907","790,166",-,-,"-94,774",-,-,-,-,"-68,455",-,
FCNCA,80,FCNCA,6/30/2003,"17,150","-81,035","120,853","810,546",-,-,"-20,179",-,-,-,-,"-3,029",-,
FCNCA,81,FCNCA,3/31/2003,"42,835","-228,291","127,377","753,578",-,-,"-17,720",-,-,-,-,"25,115",-,
FCNCA,82,FCNCA,12/31/2002,"55,136","-134,167","89,238","811,657",-,-,"-19,027",-,-,0,-,"36,109",-,
FCNCA,83,FCNCA,9/30/2002,"44,173","-267,288","210,025","801,450",-,-,"-30,953",-,-,0,-,"13,220",-,
FCNCA,84,FCNCA,6/30/2002,"17,700","-21,443","108,526","814,540",-,-,"-12,414",-,-,-,-,"5,286",-,
FCNCA,85,FCNCA,3/31/2002,"48,393","47,291","-144,914","709,757",-,-,"-18,871",-,-,-,-,"29,522",-,
FCNCA,86,FCNCA,12/31/2001,"21,289","-251,542","297,646","758,987",-,-,"-17,484",-,"100,000",-,-,"3,805",-,
FCNCA,87,FCNCA,9/30/2001,"92,612","-299,552","189,172","691,594",-,-,"-20,956",-,"30,000",-,-,"71,656",-,
FCNCA,88,FCNCA,6/30/2001,"214,711","-360,629","165,200","709,362",-,-,"-23,300",-,0,-,-,"191,411",-,
FCNCA,89,FCNCA,3/31/2001,"14,785","-462,555","381,920","690,080",-,-,"-18,183",-,522,-,-,"-3,398",-,
FCNCA,90,FCNCA,12/31/2000,"52,161","-74,391","248,263","755,930",-,-,"-28,861",-,-,-,-,"23,300",-,
FCNCA,91,FCNCA,9/30/2000,"25,360","-393,879","369,918","529,897",-,-,"-21,066",-,-,-,-,"4,294",-,
FCNCA,92,FCNCA,6/30/2000,"27,698","13,181","40,624","528,498",-,-,"-16,618",-,-,-,-,"11,080",-,
FCNCA,93,FCNCA,3/31/2000,"50,056","-329,531","134,865","446,995",-,-,"-17,701",-,-,-,-,"32,355",-,
FCNCA,94,FCNCA,12/31/1999,"53,500","-80,100","156,400","591,600",-,-,"-53,600",-,-,-,-,-100,-,
FCNCA,95,FCNCA,9/30/1999,"27,900","-59,700","39,900","461,800",-,-,"-83,300",-,-,-,-,"-55,400",-,
FCNCA,96,FCNCA,6/30/1999,"49,400",-900,"-78,500",0,-,-,"-16,100",-,-,-,-,"33,300",-,
FCNCA,97,FCNCA,3/31/1999,"57,500","-156,300","79,500",0,-,-,"-20,800",-,-,-,-,"36,700",-100,
FCNCA,98,FCNCA,12/31/1998,"246,800","-591,200","411,900",0,-,-,"-26,400",-,"1,000",-,-,"220,400",-,
FCNCA,99,FCNCA,9/30/1998,"-39,900","32,700","-43,300",0,-,-,"-20,300",-,"-83,200",-,-,"-60,200",-,
FCNCA,100,FCNCA,6/30/1998,"-50,500","111,700","-17,700",0,-,-,"-16,800",-,"83,200",-,-,"-67,300",-,
FCNCA,101,FCNCA,3/31/1998,"28,900","-130,500","37,300",0,-,-,"-29,300",-,"150,000",-,-,-400,-,
FCNCA,102,FCNCA,12/31/1997,"-61,900","-215,300","332,200",0,-,-,"-20,400",-,-,-,-,"-82,300",-,
FCNCA,103,FCNCA,9/30/1997,"34,100","-227,600","182,200",0,-,-,"-20,200",-,-,-,-,"13,900",-,
FCNCA,104,FCNCA,6/30/1997,"53,300","-172,900","230,800",0,-,-,"-16,700",-,-,-,-,"36,600",0,
FCNCA,105,FCNCA,3/31/1997,"6,100","3,600","-94,900",0,-,-,"-11,700",-,-,-,-,"-5,600",100,
FCNCA,106,FCNCA,12/31/1996,"59,200","-245,900","201,400",0,-,-,"-13,300",-,-,-,-,"45,900",-,
FCNCA,107,FCNCA,9/30/1996,"11,500","-155,000","165,100",0,-,-,"-9,600",-,-,-,-,"1,900",-,
FCNCA,108,FCNCA,6/30/1996,"5,900","72,900","-106,700",0,-,-,"-9,800",-,-,-,-,"-3,900",-,
FCNCA,109,FCNCA,3/31/1996,"15,700","-104,900","69,200",0,-,-,"-9,500",-,-,-,-,"6,200",-,
FCNCA,110,FCNCA,12/31/1995,"22,700","-249,400","191,700",0,-,-,"-6,600",-,-,-,-,"16,100",-,
FCNCA,111,FCNCA,9/30/1995,"25,700","-169,500","224,500",0,-,-,"-7,900",-,-,-,-,"17,800",-,
FCNCA,112,FCNCA,6/30/1995,"11,900","-141,600","162,200",0,-,-,"-8,300",-,-,-700,-,"3,600",-,
FCNCA,113,FCNCA,3/31/1995,"40,500","-142,500","16,700",0,-,-,"-8,300",-,-,"-10,600",-,"32,200",-,
FCNCA,114,FCNCA,12/31/1994,"42,600","-73,300","107,700",0,-,-,"-4,300",-,-,"-12,400",-,"38,300",-,
FCNCA,115,FCNCA,9/30/1994,"30,900","-70,300","40,500",0,-,-,"-4,600",-,-,"-1,900",-,"26,300",-,
FCNCA,116,FCNCA,6/30/1994,400,"79,600","-79,100",0,-,-,"-2,200",-,0,"-9,500",-,"-1,800",-,
FCNCA,117,FCNCA,3/31/1994,"93,700","-73,800","-36,100",0,-,-,"-9,200",-,"1,000","-2,000",-,"84,500",-,
FCNCA,118,FCNCA,12/31/1993,"160,900","-234,800","146,400",0,-,-,"-7,300",-,0,900,-,"153,600",-,
FCNCA,119,FCNCA,9/30/1993,"-172,400","19,900","119,300",0,-,-,"-8,900",-,0,-400,-,"-181,300",-,
FCNCA,120,FCNCA,6/30/1993,"74,400","-74,600","70,300",0,-,-,"-10,800",-,-,-300,-,"63,600",-,
FCNCA,121,FCNCA,3/31/1993,"-16,500","52,800","-119,200",0,-,-,"-7,400",-,-,-700,-,"-23,900",-,
FCNCA,122,FCNCA,12/31/1992,"38,600","-70,900","53,500",0,-,-,"-4,600",-,-,-500,-,"34,000",-,
FCNCA,123,FCNCA,9/30/1992,"91,400","-151,700","56,000",0,-,-,"-3,900",-,-,-400,-,"87,500",-,
FCNCA,124,FCNCA,6/30/1992,"9,100","70,200","-65,900",0,-,-,"-6,000",-,-,-200,-,"3,100",-,
FCNCA,125,FCNCA,3/31/1992,"-32,100","94,800","-129,300",0,-,-,-800,-,-,-400,-,"-32,900",-,
FCNCA,126,FCNCA,12/31/1991,"-14,700","27,900","22,400",0,-,-,-,-,-,"4,900",-,"-14,100",-,
FCNCA,127,FCNCA,9/30/1991,"29,800","-67,700","118,600",0,-,-,"-8,600",-,-,"-4,300",-,"21,200",-,
FCNCA,128,FCNCA,6/30/1991,"14,900","25,600",-700,0,-,-,"-7,700",-,-,-,-,"7,200",-,
FCNCA,129,FCNCA,3/31/1991,"6,400","-169,300","20,400",0,-,-,"-12,500",-,"2,300",-,-,"-6,100",-,
OVLY,0,OVLY,ttm,"23,320","-376,690","4,736","429,633","3,910","1,119","-1,190",-,-,-,-,"22,130",,
OVLY,1,OVLY,12/31/2022,"8,002","-6,844","-16,585","429,633","2,500",345,-433,-,-,-,-,"7,569",,
OVLY,2,OVLY,9/30/2022,"8,441","-40,415","-22,871","445,060",559,291,-264,-,-,-,-,"8,177",,
OVLY,3,OVLY,6/30/2022,"4,515","-227,019","53,184","499,905",-,242,-358,-,-,-,-,"4,157",,
OVLY,4,OVLY,3/31/2022,"2,362","-102,412","-8,992","669,225",-,241,-135,-,-,-,-,"2,227",,
OVLY,5,OVLY,12/31/2021,"-3,045","-6,587","105,786","778,267","1,689",231,-311,-,0,0,-,"-3,356",,
OVLY,6,OVLY,9/30/2021,"4,881","65,949","85,481","682,113",520,243,-127,-,0,0,-,"4,754",,
OVLY,7,OVLY,6/30/2021,"2,159","60,187","96,696","525,802",-,261,-232,-,-,-,-,"1,927",,
OVLY,8,OVLY,3/31/2021,"7,276","-15,872","148,700","366,760",-,236,-308,-,-,-,-,"6,968",,
OVLY,9,OVLY,12/31/2020,"2,865","24,371","56,620","226,656","1,584",240,-343,-,0,0,-,"2,522",,
OVLY,10,OVLY,9/30/2020,"2,761","-9,009","-19,829","142,800",380,333,-761,-,0,"-30,000",-,"2,000",,
OVLY,11,OVLY,6/30/2020,"9,558","-236,428","302,933","168,877",-,259,-426,-,-,-,-,"9,132",,
OVLY,12,OVLY,3/31/2020,"4,056","-64,583","5,747","92,814",-,317,-210,-,-,-,-,"3,846",,
OVLY,13,OVLY,12/31/2019,"5,088","-15,815","41,927","147,594",450,358,-437,-,-,-,-,"4,651",,
OVLY,14,OVLY,9/30/2019,"4,970","-7,922","27,789","116,394",550,394,-493,-,-,-,-,"4,477",,
OVLY,15,OVLY,6/30/2019,-853,"-11,859","10,322","91,557",-,383,-451,-,-,-,-,"-1,304",,
OVLY,16,OVLY,3/31/2019,"8,004","8,740","-48,942","93,947",-,423,-2,-,-,-,-,"8,002",,
OVLY,17,OVLY,12/31/2018,"1,343","-50,117","12,078","126,145",-,-,-96,7,-,-,-,"1,247",,
OVLY,18,OVLY,9/30/2018,"4,609","-10,823","2,745","162,841",-,-,-391,0,-,-,-,"4,218",,
OVLY,19,OVLY,6/30/2018,"2,410","-14,080","15,274","166,310",-,359,-523,-,-,-,-,"1,887",,
OVLY,20,OVLY,3/31/2018,"4,671","-6,544","15,406","162,706",-,292,-636,-,-,-,-,"4,035",,
OVLY,21,OVLY,12/31/2017,"2,863","-30,484","37,166","149,173","1,485",280,"-1,986",0,-,-,-,877,,
OVLY,22,OVLY,9/30/2017,78,"-17,603","-25,006","139,628","2,350",285,-112,75,-,-,-,-34,,
OVLY,23,OVLY,6/30/2017,"2,867","-15,056","26,633","182,159","2,087",269,-48,-,-,-,-,"2,819",,
OVLY,24,OVLY,3/31/2017,"3,591","-10,751","-15,935","167,715",0,231,-47,-,-,-,-,"3,544",,
OVLY,25,OVLY,12/31/2016,"2,871","-13,661","54,337","190,810",897,198,-280,-,-,-,-,"2,591",,
OVLY,26,OVLY,9/30/2016,"1,975","-37,663","20,327","147,263","1,423",190,-92,-,-,-,-,"1,883",,
OVLY,27,OVLY,6/30/2016,"2,614","-15,577","16,019","162,624",11,198,-204,-,-,-,-,"2,410",,
OVLY,28,OVLY,3/31/2016,"2,446","-40,260","6,779","159,568",0,170,-87,-,-,-,-,"2,359",,
OVLY,29,OVLY,12/31/2015,596,"2,357","31,036","190,603",607,152,-856,0,-,-,-,-260,,
OVLY,30,OVLY,9/30/2015,"1,977","-15,129","27,752","156,614","1,605",148,-325,0,-,-,-,"1,652",,
OVLY,31,OVLY,6/30/2015,265,"-18,895","10,946","142,014","1,050",158,-113,0,-,-,-,152,,
OVLY,32,OVLY,3/31/2015,"1,473","1,335","2,602","149,698",890,160,-124,0,-,-,-,"1,349",,
OVLY,33,OVLY,12/31/2014,"3,031","-15,942","39,453","144,288",930,158,"-1,155",0,-,-,0,"1,876",,
OVLY,34,OVLY,9/30/2014,"1,914",670,"26,675","117,747",0,153,-26,0,-,-,0,"1,888",,
OVLY,35,OVLY,6/30/2014,"2,459","-16,644","-12,982","88,488","1,230",168.324,-,33.506,-,-,0,"2,644",,
OVLY,36,OVLY,3/31/2014,3.693,"-3,050","13,510","115,654",845,188.676,-560.085,890.494,-,-,0,-556.392,,
OVLY,37,OVLY,12/31/2013,"1,749","-7,357","10,991","105,191",825,181.79,-125.607,0,-,0,0,"1,623",,
OVLY,38,OVLY,9/30/2013,"2,785","-23,208","14,513","99,808",330,188.591,-290.546,0,-,0,0,"2,495",,
OVLY,39,OVLY,6/30/2013,"1,031","-10,096","-3,086","105,717","1,150",230.465,-7.749,0,-,0,0,"1,023",,
OVLY,40,OVLY,3/31/2013,"1,950","-11,907","-13,510","117,868",40,234.626,-24.774,85,-,0,"-6,750","1,926",,
OVLY,41,OVLY,12/31/2012,864.411,-516.489,"33,575","141,335",780,266.789,-368.226,0,-,0,0,496.185,,
OVLY,42,OVLY,9/30/2012,"4,604","3,934","26,996","107,412",-,-,-158.891,69.75,-,0,0,"4,445",,
OVLY,43,OVLY,6/30/2012,"1,672",-18.019,776.414,"71,878",-,-,-218.917,41.264,-,0,-,"1,453",,
OVLY,44,OVLY,3/31/2012,"1,900","-13,033","-20,504","69,448",0,339.172,-75.317,108.753,-,"-3,000",-,"1,825",,
OVLY,45,OVLY,12/31/2011,"1,597","-8,777","27,436","101,085",825,375.212,-386.375,0,-,"-3,000",0,"1,211",,
OVLY,46,OVLY,9/30/2011,"3,161","-8,196","8,572","80,828",-,-,-860.165,"13,500",-,0,-,"2,301",,
OVLY,47,OVLY,6/30/2011,"2,916","-2,709","8,402","77,290",-,-,"-2,999",0,-,-,-,-82.9,,
OVLY,48,OVLY,3/31/2011,"2,441","-11,440","8,743","68,681",221.119,477.548,-78.384,9.894,-,-,-,"2,363",,
OVLY,49,OVLY,12/31/2010,501.011,"4,778","17,166","68,937",330,554.798,-78.104,-0.001,0,-,-,422.907,,
OVLY,50,OVLY,9/30/2010,"3,326",27.774,"13,050","46,492",35,685.881,-188.088,-,0,-,-,"3,137",,
OVLY,51,OVLY,6/30/2010,"2,193",-727.737,"-1,837","30,089","1,160",839.479,-173.915,-,"6,620",-,-,"2,019",,
OVLY,52,OVLY,3/31/2010,"2,544","11,923","-5,655","30,461",451,"1,072",-525.965,-,480,-,-,"2,018",,
OVLY,53,OVLY,12/31/2009,"3,270",578.727,"2,709","21,649",-,-,-53.285,-0.001,"5,200",-,-,"3,216",,
OVLY,54,OVLY,9/30/2009,"2,805",806.602,"-5,607","15,091",0,"3,128",-13.595,-,"7,000",-,-,"2,791",,
OVLY,55,OVLY,6/30/2009,"3,498",671.045,"1,783","17,087","1,014",24.606,-52.406,-,"19,600",-,-,"3,446",,
OVLY,56,OVLY,3/31/2009,477.349,"-13,699","14,518","11,135",0,"1,613",-16.871,-,"24,100",-,-,460.478,,
OVLY,57,OVLY,12/31/2008,"1,119","-19,258","17,338","9,838",-,-,"-1,092",-,"127,578","-136,578",-,26.637,,
OVLY,58,OVLY,9/30/2008,400.867,"-15,127","13,288","10,639",-,-,-81.018,-,"54,169","-47,569",-,319.849,,
OVLY,59,OVLY,6/30/2008,-347.78,"-14,696","13,016","12,076",-,-,-50.479,-,"53,649",-,-,-398.259,,
OVLY,60,OVLY,3/31/2008,"1,155","-9,678","8,425","14,104",0,"3,088",-893.849,12.143,"97,645",-,-,260.667,,
JPM,0,JPM,ttm,"107,119,000","-137,819,000","-126,257,000","567,234,000","4,355,000","23,143,000",-,0,"78,442,000","-45,556,000","-10,596,000","107,119,000",,
JPM,1,JPM,12/31/2022,"101,222,000","-51,530,000","-142,344,000","567,234,000","4,129,000","12,068,000",-,0,"9,498,000","-8,086,000","-5,434,000","101,222,000",,
JPM,2,JPM,9/30/2022,"-18,204,000","39,522,000","-32,883,000","644,187,000","-2,874,000","6,618,000",-,0,"23,071,000","-11,479,000",0,"-18,204,000",,
JPM,3,JPM,6/30/2022,"66,018,000","-53,203,000","-83,802,000","669,260,000","2,395,000","3,369,000",-,0,"25,222,000","-12,897,000","-707,000","66,018,000",,
JPM,4,JPM,3/31/2022,"-41,917,000","-72,608,000","132,772,000","754,532,000","705,000","1,088,000",-,0,"20,651,000","-13,094,000","-4,455,000","-41,917,000",,
JPM,5,JPM,12/31/2021,"85,095,000","-100,158,000","-2,022,000","740,834,000","1,120,000","1,260,000",-,0,"13,137,000","-8,891,000","-2,122,000","85,095,000",,
JPM,6,JPM,9/30/2021,"23,331,000","-62,275,000","97,047,000","759,869,000","3,901,000","1,421,000",-,"2,000,000","13,505,000","-12,577,000","-5,286,000","23,331,000",,
JPM,7,JPM,6/30/2021,"13,530,000","17,698,000","-37,943,000","705,421,000","13,076,000","1,334,000",-,"3,850,000","31,605,000","-18,481,000","-8,769,000","13,530,000",,
JPM,8,JPM,3/31/2021,"-43,872,000","15,391,000","218,911,000","711,072,000","640,000","1,127,000",-,"1,500,000","24,162,000","-14,983,000","-4,806,000","-43,872,000",,
JPM,9,JPM,12/31/2020,"-28,052,000","-63,706,000","125,958,000","527,609,000","1,537,000","1,501,000",-,0,"14,443,000","-14,574,000",0,"-28,052,000",,
JPM,10,JPM,9/30/2020,"-14,826,000","-14,589,000","19,251,000","487,522,000","2,280,000","2,337,000",-,0,"6,499,000","-47,537,000",0,"-14,826,000",,
JPM,11,JPM,6/30/2020,"83,740,000","-48,467,000","89,131,000","493,729,000","3,081,000","4,865,000",-,0,"22,893,000","-13,887,000",0,"83,740,000",,
JPM,12,JPM,3/31/2020,"-120,772,000","-135,150,000","362,305,000","367,534,000","763,000","4,374,000",-,"4,500,000","34,851,000","-29,057,000","-7,947,000","-120,772,000",,
JPM,13,JPM,12/31/2019,"83,085,000","-15,832,000","-63,019,000","263,631,000","2,146,000","9,128,000",-,"900,000","15,930,000","-17,674,000","-9,021,000","83,085,000",,
JPM,14,JPM,9/30/2019,"17,695,000","-65,605,000","39,537,000","256,597,000","586,000","6,996,000",-,"2,250,000","15,996,000","-13,552,000","-7,829,000","17,695,000",,
JPM,15,JPM,6/30/2019,"-13,854,000","-8,877,000","-12,966,000","268,038,000","2,358,000","6,458,000",-,0,"13,599,000","-25,959,000","-5,210,000","-13,854,000",,
JPM,16,JPM,3/31/2019,"-80,880,000","36,301,000","69,435,000","302,604,000","534,000","7,336,000",-,"1,850,000","15,560,000","-12,425,000","-6,016,000","-80,880,000",,
JPM,17,JPM,12/31/2018,"422,000","-158,211,000","17,839,000","278,793,000","1,345,000","6,008,000",-,"41,000","16,820,000","-6,677,000","-7,624,000","422,000",,
JPM,18,JPM,9/30/2018,"13,189,000","-808,000","2,553,000","419,097,000","-1,709,000","5,993,000",-,-,"13,676,000","-19,465,000","-4,416,000","13,189,000",,
JPM,19,JPM,6/30/2018,"35,685,000","6,047,000","-46,823,000","405,180,000","3,477,000","4,720,000",-,-,"21,250,000","-18,284,000","-4,968,000","35,685,000",,
JPM,20,JPM,3/31/2018,"-35,109,000","-45,021,000","60,589,000","414,812,000","429,000","4,431,000",-,-,"19,916,000","-31,887,000","-4,671,000","-35,109,000",,
JPM,21,JPM,12/31/2017,"13,537,000","12,059,000","-21,763,000","25,827,000","1,087,000","3,859,000",-,-,"-9,046,000","-17,147,000","-6,066,000","13,537,000",,
JPM,22,JPM,9/30/2017,"-3,014,000","14,737,000","-11,506,000","21,994,000","1,502,000","3,972,000",-,-,"11,565,000","-18,189,000","-4,763,000","-3,014,000",,
JPM,23,JPM,6/30/2017,"7,012,000","-10,042,000","4,306,000","21,781,000","1,380,000","3,127,000",-,-,"32,906,000","-21,694,000","-3,007,000","7,012,000",,
JPM,24,JPM,3/31/2017,"-20,036,000","-27,037,000","43,605,000","20,484,000","356,000","3,195,000",-,-,"20,846,000","-26,049,000","-2,832,000","-20,036,000",,
JPM,25,JPM,12/31/2016,"38,911,000","-2,847,000","-33,428,000","23,873,000","595,000","2,586,000",-,0,"11,049,000","-19,887,000","-2,251,000","38,911,000",,
JPM,26,JPM,9/30/2016,"4,192,000","-60,038,000","57,540,000","21,390,000","549,000","2,639,000",-,0,"35,646,000","-19,501,000","-2,295,000","4,192,000",,
JPM,27,JPM,6/30/2016,"-1,524,000","-17,483,000","20,575,000","19,710,000","814,000","2,154,000",-,0,"19,850,000","-15,462,000","-2,840,000","-1,524,000",,
JPM,28,JPM,3/31/2016,"-21,383,000","-34,581,000","53,584,000","18,212,000","447,000","2,129,000",-,0,"16,525,000","-16,560,000","-1,696,000","-21,383,000",,
JPM,29,JPM,12/31/2015,"16,167,000","27,258,000","-43,998,000","20,490,000","2,552,000","1,596,000",-,0,"9,368,000","-26,078,000","-1,219,000","16,167,000",,
JPM,30,JPM,9/30/2015,"25,124,000","2,251,000","-30,084,000","21,258,000","1,038,000","2,322,000",-,"1,119,000","15,658,000","-34,646,000","-1,248,000","25,124,000",,
JPM,31,JPM,6/30/2015,"17,296,000","101,621,000","-117,766,000","24,095,000","5,225,000","1,701,000",-,"3,382,000","26,190,000","-30,283,000","-1,249,000","17,296,000",,
JPM,32,JPM,3/31/2015,"14,879,000","-24,150,000","4,337,000","22,821,000","608,000","1,601,000",-,"1,392,000","28,395,000","-34,068,000","-1,900,000","14,879,000",,
JPM,33,JPM,12/31/2014,"28,746,000","-70,006,000","44,167,000","27,831,000","939,000","2,186,000",-,"-1,000","29,127,000","-15,782,000","-1,510,000","28,746,000",,
JPM,34,JPM,9/30/2014,"-2,449,000","2,308,000","-1,375,000","25,372,000",-,"2,001,000",-,"1,599,000","11,042,000","-12,865,000","-1,489,000","-2,449,000",,
JPM,35,JPM,6/30/2014,"-4,371,000","-29,528,000","35,118,000","27,523,000",-,"2,915,000",-,"3,354,000","19,038,000","-19,628,000","-1,375,000","-4,371,000",,
JPM,36,JPM,3/31/2014,"14,667,000","-68,410,000","40,318,000","26,321,000","270,000","1,092,000",-,"3,895,000","28,550,000","-17,000,000","-386,000","14,667,000",,
JPM,37,JPM,12/31/2013,"-7,108,000","38,600,000","-22,725,000","39,771,000","484,000","2,298,000",-,0,"14,401,000","-6,965,000","-299,000","-7,108,000",,
JPM,38,JPM,9/30/2013,"26,577,000","-46,856,000","20,941,000","30,664,000","334,000","2,540,000",-,"1,497,000","4,986,000","-15,421,000","-2,540,000","26,577,000",,
JPM,39,JPM,6/30/2013,"68,520,000","-86,790,000","1,928,000","29,214,000","2,335,000","1,978,000",-,"1,498,000","26,912,000","-21,644,000","-1,172,000","68,520,000",,
JPM,40,JPM,3/31/2013,"19,964,000","-55,455,000","28,180,000","45,524,000","349,000","2,757,000",-,"878,000","40,031,000","-16,467,000","-2,578,000","19,964,000",,
